Linux,4.2.0-27-generic,(bitnami-virtual-machine),Tuesday,2,August,2016,_x86_64_,(8,CPU),
03:37:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:37:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:38:04,IST,eth0,84.6,281.6,13.17,563.78,0,0,0,0.46
03:38:04,IST,lo,0.3,0.3,0.06,0.06,0,0,0,0
,,,,,,,,,,
03:38:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:38:24,IST,eth0,83.5,271.2,12.39,541.63,0,0,0,0.44
03:38:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:38:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:38:44,IST,eth0,92.45,307.9,13.12,627.51,0,0,0,0.51
03:38:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:38:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:39:04,IST,eth0,77,246.95,11.03,497.74,0,0,0,0.41
03:39:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:39:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:39:24,IST,eth0,84.7,276.15,12.02,564.13,0,0,0,0.46
03:39:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:39:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:39:44,IST,eth0,85.25,279.75,11.91,569.12,0,0,0,0.47
03:39:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:39:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:40:04,IST,eth0,86.6,290.75,12.52,589.8,0,0,0,0.48
03:40:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:40:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:40:24,IST,eth0,81.1,267.55,11.79,536.2,0,0,0,0.44
03:40:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:40:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:40:44,IST,eth0,83.4,274.35,12.27,553.86,0,0,0,0.45
03:40:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:40:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:41:04,IST,eth0,88.9,299.9,13.42,597.04,0,0,0,0.49
03:41:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:41:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:41:24,IST,eth0,89.05,295.2,13.12,597.48,0,0,0,0.49
03:41:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:41:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:41:44,IST,eth0,80.95,261.95,12.03,529.34,0,0,0,0.43
03:41:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:41:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:42:04,IST,eth0,86.25,281,12.79,573.04,0,0,0,0.47
03:42:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:42:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:42:24,IST,eth0,90,294.6,13.34,596.58,0,0,0,0.49
03:42:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:42:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:42:44,IST,eth0,82.9,276.35,12.32,558.46,0,0,0,0.46
03:42:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:42:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:43:04,IST,eth0,87.45,289.75,12.75,583.03,0,0,0,0.48
03:43:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:43:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:43:24,IST,eth0,48.05,134.15,6.41,267.87,0,0,0,0.22
03:43:24,IST,lo,4.8,4.8,0.41,0.41,0,0,0,0
,,,,,,,,,,
03:43:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:43:44,IST,eth0,0,0,0,0,0,0,0,0
03:43:44,IST,lo,8,8,0.69,0.69,0,0,0,0
,,,,,,,,,,
03:43:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:44:04,IST,eth0,0,0,0,0,0,0,0,0
03:44:04,IST,lo,5.6,5.6,0.48,0.48,0,0,0,0
,,,,,,,,,,
03:44:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:44:24,IST,eth0,0,0,0,0,0,0,0,0
03:44:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:44:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:44:44,IST,eth0,0,0,0,0,0,0,0,0
03:44:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:44:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:45:04,IST,eth0,0,0,0,0,0,0,0,0
03:45:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:45:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:45:24,IST,eth0,0,0,0,0,0,0,0,0
03:45:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
Average:,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,
Average:,eth0,70.28,230.41,10.41,465.68,0,0,0,0.38,
Average:,lo,0.35,0.35,0.03,0.03,0,0,0,0,
